SalesID,OrderID ,Customer ,Product ,Date ,Quantity ,UnitPrice
1,1,C1 ,P1 ,1,2,100
2,1,C1,P2,1,4,150
3,2,C2 ,P2 ,1,5,150
4,3,C3 ,P4 ,1,3,550
5,4,C4,P3,1,1,300
6,4,C4,P6,1,6,150
7,4,C4,P4 ,1,6,550
8,5,C5,P2,1,3,150
9,5,C5,P1,2,6,100
10,6,C2,P3,2,1,300
11,6,C2,P4 ,2,3,550
12,6,C2,P5,2,6,400
13,6,C2,P1,2,4,100
14,7,C4,P6,2,3,150
15,8,C6,P3,2,2,300
16,8,C6,P4 ,2,3,550
17,9,C7,P1,2,5,100
18,9,C7,P2,2,3,150
19,9,C7,P3,2,1,300
20,10,C1,P4 ,3,6,550
21,11,C2,P5,3,3,400
22,12,C8,P1,3,6,100
23,12,C8,P3,3,3,300
24,12,C8,P5,3,5,400
25,13,C9,P2,3,2,150
